ic motor,convert chemical
ic motor,convert chemical
ic motor,convert chemical
ic motor,convert chemical
wheel,convert control
pulley,convert human energy
ic motor,convert liquid-gas
blade,couple solid
nut-bolt,couple solid
mixer,couple solid
clamp,couple solid
guiders,couple solid
housing,couple solid
ic motor,couple solid
output acoustic energy,couple solid
tube,couple solid
container,couple solid
handle,couple solid
hinge,couple solid
pulley,couple solid
output acoustic energy,export auditory
output acoustic energy,export gas
wheel,export human energy
guiders,export solid
guiders,export visual
wheel,export visual
material filter,extract solid-gas
guiders,guide solid
housing,guide solid
handle,guide solid
lever,guide solid
wheel,guide solid
container,import chemical
handle,import control
lever,import control
handle,import human energy
container,import liquid
blade,import solid
material filter,import solid-gas
mixer,mix chemical
mixer,mix gas
mixer,mix liquid
blade,remove solid
material filter,secure solid
mixer,secure solid
ic motor,secure solid
lever,secure solid
link,secure solid
container,store chemical
container,store liquid
tube,transfer chemical
housing,transfer control
link,transfer control
housing,transfer human energy
blade,transfer solid
electric switch,actuate control
electric switch,actuate electrical
gear,change mechanical
gear,change mechanical
gear,change mechanical
gear,change mechanical
gear,change mechanical
gear,change mechanical
electric motor,convert electrical
electric switch,convert human energy
electric switch,convert human energy
cover,convert human material
electric wire,couple solid
electric wire,couple solid
clamp,couple solid
screw,couple solid
support,couple solid
housing,couple solid
housing,couple solid
housing,couple solid
electric motor,couple solid
electric wire,couple solid
housing,couple solid
screw,couple solid
screw,couple solid
shaft,couple solid
electric wire,couple solid
electric switch,couple solid
washer,couple solid
electric wire,couple solid
electric switch,export human material
electric switch,export human material
positioner,guide solid
positioner,guide solid
positioner,guide solid
housing,guide solid
support,guide solid
cover,guide solid
gear,guide solid
gear,guide solid
housing,guide solid
cover,guide solid
cover,guide solid
link,guide solid
gear,guide solid
electric switch,guide solid
electric motor,guide solid
gear,guide solid
gear,guide solid
gear,guide solid
gear,guide solid
gear,guide solid
shaft,guide solid
housing,guide solid
spring,guide solid
housing,guide solid
washer,guide solid
electric switch,import human material
housing,import human material
electric switch,import human material
positioner,position solid
battery,position solid
electric wire,position solid
electric wire,position solid
cap,position solid
guiders,position solid
clamp,position solid
housing,position solid
support,position solid
cover,position solid
gear,position solid
housing,position solid
cover,position solid
cover,position solid
link,position solid
electric switch,position solid
gear,position solid
gear,position solid
shaft,position solid
spring,position solid
housing,position solid
gear,regulate control
electric switch,regulate control
electric switch,regulate electrical
gear,regulate mechanical
system,secure electrical
system,secure human energy
system,secure human material
system,secure rotational
electric wire,secure solid
electric wire,secure solid
cap,secure solid
blade,secure solid
clamp,secure solid
system,secure solid
housing,secure solid
electric motor,secure solid
housing,secure solid
electric switch,secure solid
battery,store electrical
battery,supply electrical
guiders,transfer control
support,transfer control
link,transfer control
gear,transfer control
spring,transfer control
housing,transfer control
battery,transfer electrical
electric wire,transfer electrical
electric wire,transfer electrical
electric wire,transfer electrical
electric wire,transfer electrical
electric motor,transfer electrical
electric wire,transfer electrical
electric switch,transfer electrical
electric wire,transfer electrical
blade,transfer mechanical
clamp,transfer mechanical
gear,transfer mechanical
gear,transfer mechanical
gear,transfer mechanical
gear,transfer mechanical
gear,transfer mechanical
electric switch,actuate electrical
electric motor,change electrical
gear,change mechanical
gear,change mechanical
electric motor,convert electrical
cover,couple solid
support,couple solid
support,couple solid
gear,couple solid
electric motor,couple solid
support,couple solid
electric wire,couple solid
electric switch,couple solid
screw,couple solid
screw,couple solid
screw,couple solid
screw,couple solid
screw,couple solid
electric wire,couple solid
support,couple solid
housing,couple solid
electric wire,couple solid
electric wire,couple solid
electric wire,couple solid
electric wire,couple solid
electric wire,couple solid
electric wire,couple solid
electric wire,couple solid
gear,guide mechanical
support,guide solid
gear,guide solid
gear,guide solid
blade,guide solid
electric wire,import electrical
system,mix solid
system,mix solid-liquid
cover,position solid
support,position solid
support,position solid
gear,position solid
gear,position solid
support,position solid
electric wire,position solid
support,position solid
housing,position solid
electric switch,regulate control
electric switch,regulate electrical
support,secure solid
gear,secure solid
gear,secure solid
blade,secure solid
electric switch,secure solid
electric switch,secure solid
support,secure solid
electric motor,transfer electrical
electric wire,transfer electrical
electric switch,transfer electrical
electric wire,transfer electrical
electric wire,transfer electrical
electric wire,transfer electrical
electric wire,transfer electrical
electric wire,transfer electrical
electric wire,transfer electrical
electric wire,transfer electrical
gear,transfer mechanical
gear,transfer mechanical
gear,transfer mechanical
electric switch,actuate control
electric switch,actuate electrical
gear,change mechanical
gear,change mechanical
electric motor,convert electrical
electric motor,convert electrical
electric switch,convert human energy
hydraulic piston,convert human energy
fan,convert mechanical
electric wire,couple solid
electric wire,couple solid
connector,couple solid
connector,couple solid
electric cord,couple solid
housing,couple solid
electric wire,couple solid
screw,couple solid
rivet,couple solid
screw,couple solid
screw,couple solid
screw,couple solid
electric motor,couple solid
electric switch,couple solid
electric switch,couple solid
electric motor,distribute mechanical
electric cord,export electrical
housing,export human material
electric switch,export human material
blade,export solid
housing,guide human material
blade,guide solid
guiders,guide solid
housing,guide solid
gear,guide solid
gear,guide solid
housing,guide solid
guiders,guide solid
hydraulic piston,guide solid
electric motor,guide solid
electric cord,import electrical
hydraulic piston,import human energy
electric switch,import human energy
housing,import human material
electric switch,import human material
guiders,import solid
