comp,func,id
ic motor,convert chemical,169
ic motor,convert chemical,169
ic motor,convert chemical,169
ic motor,convert chemical,169
wheel,convert control,169
pulley,convert human energy,169
ic motor,convert liquid-gas,169
blade,couple solid,169
nut-bolt,couple solid,169
mixer,couple solid,169
clamp,couple solid,169
guiders,couple solid,169
housing,couple solid,169
ic motor,couple solid,169
output acoustic energy,couple solid,169
tube,couple solid,169
container,couple solid,169
handle,couple solid,169
hinge,couple solid,169
pulley,couple solid,169
output acoustic energy,export auditory,169
output acoustic energy,export gas,169
wheel,export human energy,169
guiders,export solid,169
guiders,export visual,169
wheel,export visual,169
material filter,extract solid-gas,169
guiders,guide solid,169
housing,guide solid,169
handle,guide solid,169
lever,guide solid,169
wheel,guide solid,169
container,import chemical,169
handle,import control,169
lever,import control,169
handle,import human energy,169
container,import liquid,169
blade,import solid,169
material filter,import solid-gas,169
mixer,mix chemical,169
mixer,mix gas,169
mixer,mix liquid,169
blade,remove solid,169
material filter,secure solid,169
mixer,secure solid,169
ic motor,secure solid,169
lever,secure solid,169
link,secure solid,169
container,store chemical,169
container,store liquid,169
tube,transfer chemical,169
housing,transfer control,169
link,transfer control,169
housing,transfer human energy,169
blade,transfer solid,169
electric switch,actuate control,357
electric switch,actuate electrical,357
gear,change mechanical,357
gear,change mechanical,357
gear,change mechanical,357
gear,change mechanical,357
gear,change mechanical,357
gear,change mechanical,357
electric motor,convert electrical,357
electric switch,convert human energy,357
electric switch,convert human energy,357
cover,convert human material,357
electric wire,couple solid,357
electric wire,couple solid,357
clamp,couple solid,357
screw,couple solid,357
support,couple solid,357
housing,couple solid,357
housing,couple solid,357
housing,couple solid,357
electric motor,couple solid,357
electric wire,couple solid,357
housing,couple solid,357
screw,couple solid,357
screw,couple solid,357
shaft,couple solid,357
electric wire,couple solid,357
electric switch,couple solid,357
washer,couple solid,357
electric wire,couple solid,357
electric switch,export human material,357
electric switch,export human material,357
positioner,guide solid,357
positioner,guide solid,357
positioner,guide solid,357
housing,guide solid,357
support,guide solid,357
cover,guide solid,357
gear,guide solid,357
gear,guide solid,357
housing,guide solid,357
cover,guide solid,357
cover,guide solid,357
link,guide solid,357
gear,guide solid,357
electric switch,guide solid,357
electric motor,guide solid,357
gear,guide solid,357
gear,guide solid,357
gear,guide solid,357
gear,guide solid,357
gear,guide solid,357
shaft,guide solid,357
housing,guide solid,357
spring,guide solid,357
housing,guide solid,357
washer,guide solid,357
electric switch,import human material,357
housing,import human material,357
electric switch,import human material,357
positioner,position solid,357
battery,position solid,357
electric wire,position solid,357
electric wire,position solid,357
cap,position solid,357
guiders,position solid,357
clamp,position solid,357
housing,position solid,357
support,position solid,357
cover,position solid,357
gear,position solid,357
housing,position solid,357
cover,position solid,357
cover,position solid,357
link,position solid,357
electric switch,position solid,357
gear,position solid,357
gear,position solid,357
shaft,position solid,357
spring,position solid,357
housing,position solid,357
gear,regulate control,357
electric switch,regulate control,357
electric switch,regulate electrical,357
gear,regulate mechanical,357
system,secure electrical,357
system,secure human energy,357
system,secure human material,357
system,secure rotational,357
electric wire,secure solid,357
electric wire,secure solid,357
cap,secure solid,357
blade,secure solid,357
clamp,secure solid,357
system,secure solid,357
housing,secure solid,357
electric motor,secure solid,357
housing,secure solid,357
electric switch,secure solid,357
battery,store electrical,357
battery,supply electrical,357
guiders,transfer control,357
support,transfer control,357
link,transfer control,357
gear,transfer control,357
spring,transfer control,357
housing,transfer control,357
battery,transfer electrical,357
electric wire,transfer electrical,357
electric wire,transfer electrical,357
electric wire,transfer electrical,357
electric wire,transfer electrical,357
electric motor,transfer electrical,357
electric wire,transfer electrical,357
